ARN 	 Ar N 	 18 7
Lusitains 	 Lu S I Ta I N S 	 71 16 53 73 53 7 16
Monge 	 Mo N Ge 	 42 7 32
Moore 	 Mo O Re 	 42 8 75
Moore 	 Mo O Re 	 42 8 75
Moraves 	 Mo Ra V Es 	 42 88 23 99
More 	 Mo Re 	 42 75
Mores 	 Mo Re S 	 42 75 16
Mossi 	 Mo S S I 	 42 16 16 53
Mossis 	 Mo S S I S 	 42 16 16 53 16
Nagui 	 N Ag U I 	 7 47 92 53
Narcy 	 N Ar C Y 	 7 18 6 39
Nerval 	 N Er V Al 	 7 68 23 13
Nicholas 	 N I C H O La S 	 7 53 6 1 8 57 16
Nikita 	 N I K I Ta 	 7 53 19 53 73
Oasis 	 O As I S 	 8 33 53 16
Occitan 	 O C C I Ta N 	 8 6 6 53 73 7
Occitanes 	 O C C I Ta N Es 	 8 6 6 53 73 7 99
Occitans 	 O C C I Ta N S 	 8 6 6 53 73 7 16
Pacific 	 P Ac I F I C 	 15 89 53 9 53 6
Palatin 	 P Al At I N 	 15 13 85 53 7
Palatines 	 P Al At I N Es 	 15 13 85 53 7 99
Palois 	 P Al O I S 	 15 13 8 53 16
Paloises 	 P Al O I S Es 	 15 13 8 53 16 99
Park 	 P Ar K 	 15 18 19
Parsi 	 P Ar S I 	 15 18 16 53
Parsies 	 P Ar S I Es 	 15 18 16 53 99
Parsis 	 P Ar S I S 	 15 18 16 53 16
Pas 	 P As 	 15 33
Percheron 	 P Er C H Er O N 	 15 68 6 1 68 8 7
Percheronnes 	 P Er C H Er O N N Es 	 15 68 6 1 68 8 7 7 99
Percherons 	 P Er C H Er O N S 	 15 68 6 1 68 8 7 16
Perkins 	 P Er K I N S 	 15 68 19 53 7 16
Perses 	 P Er S Es 	 15 68 16 99
Philippin 	 P H I Li P P I N 	 15 1 53 3 15 15 53 7
Philippines 	 P H I Li P P I N Es 	 15 1 53 3 15 15 53 7 99
Philippins 	 P H I Li P P I N S 	 15 1 53 3 15 15 53 7 16
Picards 	 P I C Ar Ds 	 15 53 6 18 110
Picasso 	 P I C As S O 	 15 53 6 33 16 8
Poitevines 	 P O I Te V I N Es 	 15 8 53 52 23 53 7 99
Poitevins 	 P O I Te V I N S 	 15 8 53 52 23 53 7 16
Polanski 	 P O La N S K I 	 15 8 57 7 16 19 53
Popov 	 P O P O V 	 15 8 15 8 23
Prestige 	 P Re S Ti Ge 	 15 75 16 22 32
Russes 	 Ru S S Es 	 44 16 16 99
SS 	 S S 	 16 16
SS 	 S S 	 16 16
SS 	 S S 	 16 16
Salomon 	 S Al O Mo N 	 16 13 8 42 7
Samaritaines 	 S Am Ar I Ta I N Es 	 16 95 18 53 73 53 7 99
Samaritains 	 S Am Ar I Ta I N S 	 16 95 18 53 73 53 7 16
Samnite 	 S Am N I Te 	 16 95 7 53 52
Samnites 	 S Am N I Te S 	 16 95 7 53 52 16
Sampras 	 S Am P Ra S 	 16 95 15 88 16
Sarthois 	 S Ar Th O I S 	 16 18 90 8 53 16
Sarthoises 	 S Ar Th O I S Es 	 16 18 90 8 53 16 99
Schiffer 	 S C H I F F Er 	 16 6 1 53 9 9 68
Scythes 	 S C Y Th Es 	 16 6 39 90 99
Serbes 	 S Er B Es 	 16 68 5 99
Serra 	 S Er Ra 	 16 68 88
Siamois 	 S I Am O I S 	 16 53 95 8 53 16
Siamoises 	 S I Am O I S Es 	 16 53 95 8 53 16 99
Silver 	 S I Lv Er 	 16 53 116 68
Sinatra 	 S I N At Ra 	 16 53 7 85 88
Slaves 	 S La V Es 	 16 57 23 99
Slavonnes 	 S La V O N N Es 	 16 57 23 8 7 7 99
Slavons 	 S La V O N S 	 16 57 23 8 7 16
Socrate 	 S O C Ra Te 	 16 8 6 88 52
Sotho 	 S O Th O 	 16 8 90 8
Sothos 	 S O Th O S 	 16 8 90 8 16
Spartiates 	 S P Ar Ti At Es 	 16 15 18 22 85 99
